hour_of_day,day_of_week,severity_numeric,source_type_numeric,src_bytes,dst_bytes,event_freq_1m,protocol,dst_port,template_rarity,threat_intel_flag,duration,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,count,srv_count,dst_host_count,dst_host_srv_count,label
0.0,3.0,0.9634822902270932,3.0,114.0,0.0,4.0,17.0,53.0,0.5,0.0,1.1e-05,1.0,1.0,0.0,0.0,4.0,4.0,5.0,4.0,1
21.0,1.0,0.0,5.0,10.0,14.0,27.0,17.0,53.0,0.5140834140345989,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,1
5.0,4.0,0.0,1.0,0.0,0.0,19.0,0.0,8020.0,0.19,0.0,22110.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,0
7.0,3.0,0.0,2.0,0.0,0.0,185.0,0.0,0.0,0.4456361552221405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
15.0,4.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.29605039114947224,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0
4.0,2.0,0.0,2.0,0.0,0.0,146.0,0.0,0.0,0.501714443138025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
12.0,1.0,0.0,8.0,3.0,0.0,31.0,6.0,80.0,0.425,0.0,51.78795565791853,1.0,0.0,0.0,0.0,28.0,18.0,1.0,1.0,1
16.0,6.0,0.7657389629600195,3.0,146.0,178.0,1.0,17.0,53.0,0.5,0.0,0.00114,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0
23.0,2.0,2.234412661896828,1.0,0.0,0.0,70.0,0.0,22.0,0.5110516753078499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
17.0,1.0,0.6562426447575849,3.0,130.0,162.0,6.0,17.0,53.0,0.5,0.0,0.000938,0.6666666666666666,0.16666666666666666,0.0,0.0,6.0,6.0,4.0,3.0,0
11.0,1.0,0.0,5.0,10.0,14.0,27.0,17.0,53.0,0.5140834140345989,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,1
20.0,2.0,0.9377405281073081,3.0,132.0,164.0,1.0,17.0,53.0,0.5,0.0,0.001094,1.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,0
18.0,4.0,0.0,8.0,3.0,0.0,8.0,6.0,80.0,0.38,0.0,4.045615006214402,1.0,0.0,0.0,0.0,42.0,34.0,1.0,1.0,1
3.0,4.0,2.6553601993697358,8.0,0.0,0.0,136.0,6.0,80.0,0.7376476931199654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
10.0,3.0,0.8875501867500513,10.0,0.0,0.0,1.0,6.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,65.0,1.0,1
2.0,6.0,0.0,2.0,0.0,0.0,154.0,0.0,0.0,0.49498194895952435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
7.0,6.0,1.0917925469146605,9.0,68.0,324.0,20408.16327,6.0,53.0,0.3658286551629149,0.0,196.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0
9.0,0.0,2.8301691591869416,1.0,0.0,0.0,149.0,6.0,22.0,0.6658344032607235,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
21.0,4.0,0.0,5.0,0.0,12.0,15.0,17.0,53.0,0.6572431251322121,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0
9.0,1.0,0.3074645790704307,1.0,0.0,0.0,107.0,6.0,22.0,0.2748942020187735,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
3.0,2.0,1.664594492214356,3.0,264.0,0.0,4.0,17.0,53.0,0.5,0.0,2e-06,0.25,0.25,0.0,0.0,4.0,4.0,1.0,1.0,0
0.0,6.0,1.104244988498452,9.0,68.0,158.0,129.3995859213,6.0,53.0,0.5795627761308053,0.0,30912.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0
11.0,6.0,0.9332975923826647,3.0,114.0,0.0,7.0,17.0,53.0,0.5,0.0,1.1e-05,0.42857142857142855,0.42857142857142855,0.0,0.0,7.0,7.0,3.0,3.0,1
9.0,5.0,2.727037949930016,1.0,0.0,0.0,89.0,6.0,22.0,0.7716880537850711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
14.0,6.0,0.6919907462468826,10.0,520.0,0.0,98.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,98.0,98.0,255.0,255.0,1
20.0,1.0,1.315084089786289,3.0,564.0,354.0,1.0,6.0,111.0,0.5,0.0,1.530518,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1
8.0,3.0,0.5946717744042012,9.0,54.0,54.0,2.0,17.0,53.0,0.4961873174362129,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
9.0,4.0,0.0,8.0,59.0,0.0,36.0,6.0,80.0,0.305,0.0,49.215547452536505,1.0,0.0,0.0,0.0,26.0,15.0,1.0,1.0,0
12.0,0.0,2.3682664255041606,1.0,0.0,0.0,85.0,0.0,22.0,0.6069053156797422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
11.0,0.0,0.0,8.0,38.0,0.0,20.0,6.0,80.0,0.28,0.0,29.825229959206425,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,1
19.0,2.0,0.0,8.0,3.0,0.0,10.0,6.0,80.0,0.38,0.0,86.2833307975309,1.0,0.0,0.0,0.0,42.0,28.0,1.0,1.0,1
14.0,6.0,0.0,1.0,0.0,0.0,70.0,0.0,0.0,0.4840809127215029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
9.0,2.0,2.6730598474604497,1.0,0.0,0.0,34.0,6.0,22.0,0.5208652482274018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
14.0,1.0,1.521276973747687,9.0,44.0,0.0,1.0,6.0,443.0,0.32303055855819574,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
18.0,2.0,0.8360410272671588,8.0,0.0,0.0,192.0,6.0,80.0,0.5360248500374205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
23.0,2.0,0.2159828221672595,1.0,0.0,0.0,39.0,0.0,0.0,0.7657928469782389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
13.0,3.0,0.9361741904745445,9.0,3184.0,1050.0,20.0,6.0,50000.0,0.7011407703518459,0.0,524.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,1.0,1
9.0,2.0,2.7579380083075993,1.0,0.0,0.0,78.0,6.0,22.0,0.38526897679017447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
3.0,1.0,0.2883397891009477,9.0,1594.0,6101.0,2.82805935,6.0,443.0,0.5747147896453514,0.0,6718388.0,1.0,0.0,0.0,0.0,19.0,10.0,1.0,1.0,0
4.0,2.0,1.010679485286181,9.0,1493.0,2056.0,56.0,6.0,21.0,0.6883935393768997,0.0,207.0,0.0,0.0,0.0,0.0,27.0,29.0,1.0,1.0,0
3.0,2.0,0.8348957700914397,9.0,146.0,178.0,4.0,17.0,53.0,0.6296816820645349,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0
10.0,1.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,0.32663719696814864,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,0
9.0,1.0,0.0,5.0,10.0,14.0,27.0,17.0,53.0,0.5140834140345989,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.0,1.0,1
20.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,8020.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1
14.0,1.0,0.0,9.0,40.0,0.0,1.0,6.0,50040.0,0.3409891608741217,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
19.0,5.0,0.4566019599053197,9.0,0.0,0.0,0.110858953,6.0,80.0,0.4817437612021522,0.0,63143299.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,1
16.0,1.0,0.5403631078642397,9.0,44.0,40.0,2.0,6.0,139.0,0.5189145587286478,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
0.0,6.0,0.0,1.0,0.0,0.0,19.0,0.0,8020.0,0.19,0.0,6805.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,1.0,0
18.0,1.0,0.0,8.0,263.0,0.0,75.0,6.0,80.0,0.295,0.0,51.167123426294424,1.0,0.0,0.0,0.0,39.0,21.0,1.0,1.0,1
5.0,4.0,1.263314303773794,3.0,4804.0,2552.0,9.0,6.0,5190.0,0.5,0.0,0.006035,0.3333333333333333,0.1111111111111111,0.0,0.0,9.0,2.0,3.0,6.0,0
3.0,0.0,1.0725310564184545,3.0,132.0,164.0,5.0,17.0,53.0,0.5,0.0,0.001039,0.6,0.2,0.0,0.0,5.0,4.0,3.0,7.0,0
7.0,2.0,1.4234072551126802,9.0,1920.0,4312.0,46.0,6.0,5190.0,0.28918920521769786,0.0,184.0,0.0,0.0,0.0,0.0,22.0,24.0,1.0,1.0,0
2.0,2.0,1.6997564874339939,9.0,1798.0,336.0,18.0,6.0,9111.0,0.6329712676064554,0.0,2103.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,1
8.0,0.0,0.013981466628788464,1.0,0.0,0.0,30.0,0.0,0.0,0.4738719785704005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
17.0,0.0,0.0,2.0,0.0,0.0,194.0,0.0,0.0,0.47894786929382804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
17.0,3.0,1.2018626763035511,9.0,112.0,60.0,3.0,6.0,80.0,0.5447455169299433,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1
3.0,5.0,0.0,5.0,0.0,5.0,7.0,17.0,53.0,0.3715084951819779,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0
5.0,1.0,0.20301267961298902,8.0,0.0,0.0,50.0,6.0,80.0,0.46594677389875117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
23.0,0.0,0.5863616134178777,3.0,568.0,312.0,7.0,17.0,111.0,0.5,0.0,0.004555,1.0,0.14285714285714285,0.0,0.0,7.0,7.0,7.0,4.0,0
17.0,0.0,0.0,8.0,17.0,0.0,68.0,6.0,80.0,0.285,0.0,213.37856696128972,1.0,0.0,0.0,0.0,9.0,18.0,1.0,1.0,1
17.0,0.0,1.2942522764243587,9.0,486.0,417.0,0.259278311,6.0,80.0,0.5987422425727794,0.0,115705783.0,1.0,0.0,0.0,0.0,30.0,16.0,1.0,1.0,0
