iter	Passed	Remaining
0	157	62752
1	158	31538
2	159	21114
3	160	15862
4	160	12714
5	161	10622
6	162	9127
7	163	8015
8	164	7140
9	165	6453
10	166	5878
11	167	5401
12	168	5005
13	169	4685
14	170	4382
15	171	4116
16	172	3883
17	173	3677
18	174	3492
19	175	3326
20	175	3171
21	176	3030
22	176	2899
23	177	2783
24	178	2680
25	179	2581
26	180	2493
27	181	2413
28	182	2332
29	182	2256
30	183	2189
31	185	2128
32	185	2067
33	186	2007
34	186	1949
35	187	1896
36	188	1845
37	189	1801
38	189	1756
39	190	1712
40	190	1671
41	191	1632
42	192	1594
43	192	1557
44	193	1522
45	193	1492
46	194	1461
47	195	1432
48	196	1404
49	197	1379
50	197	1353
51	198	1328
52	199	1303
53	200	1281
54	200	1259
55	201	1237
56	202	1217
57	202	1196
58	203	1175
59	203	1155
60	204	1135
61	204	1117
62	205	1099
63	206	1082
64	206	1064
65	207	1048
66	207	1033
67	208	1018
68	209	1003
69	209	988
70	210	974
71	210	960
72	211	946
73	211	933
74	212	922
75	213	909
76	213	897
77	214	885
78	215	873
79	215	861
80	216	851
81	216	840
82	217	829
83	217	818
84	218	808
85	219	799
86	219	790
87	220	781
88	220	771
89	221	762
90	221	753
91	222	745
92	223	736
93	223	728
94	224	720
95	225	713
96	225	705
97	226	698
98	227	690
99	227	683
100	228	675
101	229	669
102	229	663
103	230	656
104	231	649
105	231	642
106	232	636
107	233	630
108	233	624
109	234	618
110	235	612
111	235	606
112	237	604
113	238	598
114	239	594
115	240	589
116	241	583
117	242	578
118	242	573
119	243	568
120	244	562
121	244	557
122	245	552
123	246	547
124	247	544
125	248	539
126	248	534
127	249	530
128	250	525
129	250	521
130	251	517
131	252	512
132	253	508
133	253	504
134	254	500
135	255	496
136	256	492
137	257	488
138	258	484
139	258	480
140	259	477
141	260	473
142	261	469
143	262	466
144	262	462
145	263	458
146	264	454
147	264	450
148	265	447
149	266	443
150	267	440
151	267	436
152	268	433
153	269	429
154	269	426
155	270	423
156	271	420
157	272	417
158	273	413
159	273	410
160	274	407
161	274	403
162	275	400
163	276	397
164	277	394
165	277	391
166	278	388
167	279	385
168	279	382
169	280	379
170	281	376
171	281	373
172	282	370
173	283	367
174	283	364
175	284	362
176	285	359
177	286	357
178	287	354
179	288	352
180	289	349
181	289	347
182	290	344
183	291	342
184	292	339
185	292	336
186	293	334
187	294	332
188	295	329
189	295	326
190	296	324
191	296	321
192	297	318
193	297	316
194	298	313
195	298	310
196	299	308
197	300	306
198	300	303
199	301	301
200	301	298
201	302	296
202	303	294
203	306	294
204	307	292
205	308	290
206	308	287
207	309	285
208	310	283
209	311	281
210	311	279
211	312	277
212	313	275
213	314	273
214	315	271
215	315	268
216	316	266
217	317	265
218	318	263
219	319	261
220	320	259
221	320	257
222	321	255
223	322	253
224	323	251
225	324	249
226	324	247
227	325	245
228	325	243
229	326	241
230	327	239
231	328	237
232	328	235
233	329	233
234	329	231
235	330	229
236	331	227
237	331	225
238	332	223
239	333	222
240	333	220
241	334	218
242	334	216
243	335	214
244	336	212
245	336	210
246	337	208
247	338	207
248	338	205
249	339	203
250	339	201
251	340	199
252	341	198
253	342	197
254	343	195
255	344	193
256	345	192
257	345	190
258	346	188
259	347	187
260	348	185
261	349	184
262	350	182
263	351	180
264	351	179
265	352	177
266	353	175
267	353	174
268	354	172
269	355	171
270	356	169
271	356	167
272	357	166
273	357	164
274	358	162
275	359	161
276	359	159
277	360	158
278	361	156
279	362	155
280	362	153
281	363	152
282	364	150
283	364	148
284	365	147
285	366	145
286	366	144
287	367	142
288	367	141
289	369	140
290	370	138
291	370	137
292	371	135
293	372	134
294	372	132
295	373	131
296	374	129
297	374	128
298	375	126
299	375	125
300	376	123
301	377	122
302	377	121
303	378	119
304	379	118
305	380	116
306	380	115
307	381	113
308	382	112
309	382	111
310	383	109
311	384	108
312	385	107
313	385	105
314	386	104
315	386	102
316	387	101
317	389	100
318	390	99
319	390	97
320	391	96
321	392	95
322	393	93
323	393	92
324	394	90
325	394	89
326	395	88
327	396	87
328	397	85
329	397	84
330	398	83
331	399	81
332	399	80
333	400	79
334	400	77
335	401	76
336	402	75
337	402	73
338	403	72
339	404	71
340	405	70
341	405	68
342	406	67
343	406	66
344	407	64
345	407	63
346	408	62
347	409	61
348	409	59
349	410	58
350	411	57
351	411	56
352	412	54
353	412	53
354	413	52
355	414	51
356	414	49
357	415	48
358	416	47
359	417	46
360	417	45
361	418	43
362	419	42
363	419	41
364	420	40
365	421	39
366	422	37
367	422	36
368	423	35
369	424	34
370	424	33
371	425	32
372	426	30
373	426	29
374	427	28
375	427	27
376	428	26
377	429	24
378	430	23
379	430	22
380	431	21
381	432	20
382	433	19
383	433	18
384	434	16
385	434	15
386	435	14
387	436	13
388	436	12
389	437	11
390	438	10
391	438	8
392	439	7
393	440	6
394	440	5
395	441	4
396	441	3
397	442	2
398	443	1
399	443	0
